   Low DM    High DM     dDM  DownSamp  dsubDM   #DMs  DMs/call  calls  Ncalls
    0.000      5.760    0.01       1    0.48     576      48      12    2
  129.600    267.840    0.12       4   11.52    1152      96      12    4  
    5.760     11.520    0.01       1    0.48     576      48      12    2
  267.840    501.120    0.27      10   29.16     864     108       8    8 
   11.520     17.280    0.01       1    0.48     576      48      12    2
   34.560     51.840    0.03       1    1.44     576      48      12    2
   17.280     25.920    0.02       1    1.08     432      54       8    2
   25.920     34.560    0.02       1    1.08     432      54       8    2
   51.840     69.120    0.03       1    1.44     576      48      12    2
   69.120    129.600    0.07       2    3.78     864      54      16    4      
