   Low DM    High DM     dDM  DownSamp  dsubDM   #DMs  DMs/call  calls  Ncalls
    0.000      5.760    0.01       1    0.96     576      96       6    1
  129.600    267.840    0.12       4   34.56    1152     288       4    1  
    5.760     11.520    0.01       1    0.96     576      96       6    1
  267.840    501.120    0.27      10   58.32     864     216       4    4 
   11.520     17.280    0.01       1    0.96     576      96       6    1
   34.560     51.840    0.03       1    2.88     576      96       6    1
   17.280     25.920    0.02       1    2.16     432     108       4    1
   25.920     34.560    0.02       1    2.16     432     108       4    1
   51.840     69.120    0.03       1    2.88     576      96       6    1
   69.120    129.600    0.07       2   15.12     864     216       4    1      
